Transaction_ID,Date,Timestamp,Txn_Ref_Number,Transaction_Mode,Currency,Transaction_Amount,Sender_Customer_ID,Sender_Customer_Name,Sender_Bank_Name,Sender_Account_Number,Sender_Account_Type,Sender_IFSC,Sender_Phone_Number,Receiver_Customer_ID,Receiver_Customer_Name,Receiver_Bank_Name,Receiver_Account_Number,Receiver_Account_Type,Receiver_IFSC,Receiver_Phone_Number
UPI2501016DUT07,2025-01-01,08:45:30,6G5G79OR7875,UPI,INR,24771.25,100001480,Milan Mukherjee,Punjab National Bank,579971123001,Savings,PUNB9414385,+918339147499,100006864,Sunita Menon,Punjab National Bank,675404012423,Salary,PUNB2501026,+917657701816
TXN250101XB9YO1,2025-01-01,11:00:55,8PAJSSUUQO1V,Cash Deposit,INR,41175.8,100005596,Radhika Bhatia,Canara Bank,639701167799,Savings,CNRB9224665,+917797443799,100002271,Mohit Krishnan,Canara Bank,214357371287,Current,CNRB2405014,+917271368384
UPI250101RUJOQW,2025-01-01,12:15:04,5DSK7N8LA100,UPI,INR,24139.95,100002368,Ketan Patel,Union Bank of India,490824629902,Salary,UBIN6692339,+917774645630,100001250,Mihir Mohanty,State Bank of India,176916442906,Savings,SBIN6803310,+917628158707
ATM2501012QE4PA,2025-01-01,12:22:44,8HYEXF7JXJN6,ATM,INR,28979.53,100002787,Hitesh Kapoor,Punjab National Bank,417615291242,Salary,PUNB6442395,+918328382428,100002932,Darshan Ansari,ICICI Bank,197317597470,Savings,ICIC3169197,+916586472494
TXN250101CN0DL5,2025-01-01,12:34:30,E11E9FTAXP0W,Cash Deposit,INR,27446.97,100002097,Arvind Bhatt,HDFC Bank,344779272578,Savings,HDFC5773222,+919018841243,100002471,Kavya Bisht,Canara Bank,211883689833,Salary,CNRB5574409,+919572350182
ATM250101DU0ISB,2025-01-01,13:11:19,5IQNF74T60PL,ATM,INR,11963.91,100000185,Aditya Acharya,Punjab National Bank,143049333579,Salary,PUNB1202052,+918481942857,100005919,Rajan Patel,Punjab National Bank,147628104899,Salary,PUNB7935645,+916635012007
ATM250101OZJCNS,2025-01-01,13:19:20,6G298CQK4LTA,ATM,INR,16481.7,100006911,Mukesh Negi,IndusInd Bank,827574488854,Salary,INDB8544792,+919761446279,100003697,Pallavi More,Union Bank of India,449634624784,Savings,UBIN1367741,+918805064101
TXN250101KL8CGN,2025-01-01,14:36:15,0T6DVWRB7F6F,Cash Deposit,INR,1452.36,100005232,Alia Shinde,Kotak Mahindra Bank,130566195191,Savings,KKBK8054287,+916473360711,100002012,Farah Parmar,Union Bank of India,368342866478,Savings,UBIN8773413,+916059885809
ATM250101IJC1YD,2025-01-01,14:58:03,MT8VT43PT5R5,ATM,INR,1222.06,100003562,Ansh Krishnan,Punjab National Bank,737038471545,Savings,PUNB9770394,+916020248860,100006723,Amol Kaur,Axis Bank,200379959030,Savings,UTIB8923781,+916373848076
UPI250101D3GO8J,2025-01-01,15:54:39,N42X2EZC7FOV,UPI,INR,22672.14,100006360,Sagar Chawla,Union Bank of India,664790495253,Savings,UBIN2551437,+918836650449,100001682,Dinesh Krishnan,Bank of Baroda,772516696057,Current,BARB6895198,+917916468521
UPI250101TAJW25,2025-01-01,16:48:36,36ZX1TV18KGY,UPI,INR,11164.04,100005759,Nishant Bhattacharya,Union Bank of India,574896081837,Savings,UBIN8589498,+916034102808,100004702,Kush Pereira,Kotak Mahindra Bank,152603472454,Salary,KKBK3911548,+916737515115
TXN250101HUB2RT,2025-01-01,18:40:20,SOYG9ZQYAHUL,Cash Deposit,INR,25156.25,100002074,Namrata Bhattacharya,Axis Bank,233700696589,Current,UTIB2309389,+918023743035,100000574,Gagan Bose,Axis Bank,935003701340,Current,UTIB2892269,+918682534164
UPI250101OYC3RW,2025-01-01,18:59:46,QMMU7JAE58HU,UPI,INR,19343.7,100000494,Dipak Rawat,Punjab National Bank,908385836207,Savings,PUNB3479952,+919842762982,100006663,Hari Deshmukh,Bank of Baroda,973575322296,Salary,BARB8364842,+916938174319
UPI250101K2LSLA,2025-01-01,22:21:54,YM0WBGLMY62X,UPI,INR,12186.69,100000313,Arnav Desai,Union Bank of India,655687970571,Salary,UBIN4699167,+918364246419,100005817,Anjali Fernandes,Canara Bank,394970749257,Savings,CNRB4878262,+917676395246
ATM250101D32LX2,2025-01-01,23:18:19,TOOWT9NM3V2P,ATM,INR,5529.58,100005232,Alia Shinde,Kotak Mahindra Bank,130566195191,Savings,KKBK8054287,+916473360711,100003635,Nandita Chaturvedi,Canara Bank,894966371016,Savings,CNRB6086086,+917209789322
TXN250102V1MZB3,2025-01-02,03:38:39,I4FIEECY2C11,Pos,INR,22093.21,100001315,Hitesh Sandhu,Kotak Mahindra Bank,249798558478,Salary,KKBK3336535,+918061588925,100003226,Priyanka Sawant,Union Bank of India,392955674920,Savings,UBIN5413774,+918453494614
ATM250102WQ1GAZ,2025-01-02,04:51:16,5UH80Q7TW1PU,ATM,INR,16526.24,100000737,Kedar Rao,State Bank of India,770748010651,Salary,SBIN1024173,+917366448741,100004148,Hema Reddy,Bank of Baroda,191806538697,Savings,BARB1522491,+918501249628
ATM2501023IH66W,2025-01-02,05:32:31,51OB537QO4Z5,ATM,INR,16425.19,100001061,Jeevan Yadav,Canara Bank,882532986274,Savings,CNRB9802559,+918233464916,100000891,Daksha Pandya,Kotak Mahindra Bank,865296828530,Current,KKBK4044629,+919004689486
UPI250102G585I8,2025-01-02,05:44:17,7XW69HZGOPJD,UPI,INR,16601.94,100005205,Gauri Ansari,Axis Bank,151405700758,Savings,UTIB8537417,+918862586974,100004133,Dhara Menon,Axis Bank,122759634160,Salary,UTIB4810712,+918738240239
ATM250102B2VI10,2025-01-02,07:58:26,9DCNWMBXEK0Q,ATM,INR,6830.69,100003960,Omkar Dubey,Bank of Baroda,185206194488,Savings,BARB5000960,+916323599598,100001065,Pritam Bhatia,ICICI Bank,870138804525,Savings,ICIC8234800,+917815142697
IMPS250102BHAIIW,2025-01-02,10:24:38,I08L0HG9NCBE,IMPS,INR,1180.09,100001943,Arvind Agarwal,Bank of Baroda,917602654447,Savings,BARB9179704,+919042808278,100001334,Gauri Shah,State Bank of India,244317952940,Savings,SBIN7802477,+916474035758
IMPS2501022LG1ZH,2025-01-02,10:54:19,QUNUE7A34MPY,IMPS,INR,25190.86,100006467,Hema Negi,Axis Bank,914111795067,Salary,UTIB1955170,+916631863027,100000727,Mayank Deshmukh,Canara Bank,460111917694,Salary,CNRB2834822,+916844164460
ATM250102Z43XZ6,2025-01-02,11:42:14,OLBA117NIDP9,ATM,INR,39771.84,100000793,Sneha Yadav,Punjab National Bank,117923003842,Savings,PUNB6907399,+916512822559,100002110,Anushka Gill,Union Bank of India,522081658806,Savings,UBIN2051397,+916129129648
UPI250102B7V80L,2025-01-02,12:07:49,KX1S9XKA4LIT,UPI,INR,11179.89,100003731,Payal Rathod,ICICI Bank,332261793890,Demat,ICIC9189188,+918578598723,100006184,Sarthak Mishra,Bank of Baroda,645287118270,Savings,BARB9250730,+918959149141
ATM250102MF07OL,2025-01-02,12:58:01,93ACZSX0GNZH,ATM,INR,2541.11,100003339,Dipak Goel,HDFC Bank,465915955256,Salary,HDFC9273649,+918871167031,100005577,Seema Negi,Kotak Mahindra Bank,958649230167,Salary,KKBK8540844,+917303258691
UPI2501024SE2KY,2025-01-02,13:38:40,T5GQEXIH1XDP,UPI,INR,3473.74,100000379,Reyansh Tiwari,State Bank of India,649187012520,Salary,SBIN6670272,+916453040604,100001738,Ishita Bhatt,Bank of Baroda,458965894543,Salary,BARB2494091,+919614333439
UPI250102VXNZ0N,2025-01-02,13:41:55,XU43IEDD070E,UPI,INR,9267.13,100004901,Radhika Shaikh,Canara Bank,798023981510,Savings,CNRB8148801,+916419179076,100005669,Chetan Kohli,Punjab National Bank,973088466106,Salary,PUNB2734502,+919904689017
UPI250102N48UAC,2025-01-02,13:52:22,T49LNY2SVHOT,UPI,INR,71137.41,100000347,Jignesh Pandey,ICICI Bank,791567969164,Salary,ICIC9317815,+917330684763,100002811,Rupesh Kar,Axis Bank,278869873993,Savings,UTIB7842511,+916668354911
TXN250102DP4FMP,2025-01-02,15:47:18,M5HGBO06FHRX,Cash Deposit,INR,12735.92,100006427,Bhavana Naidu,ICICI Bank,622956351037,Current,ICIC9779218,+917212435998,100004963,Jyotir Kaur,Bank of Baroda,554330979226,Salary,BARB3261430,+916996698129
UPI250102JPT2ZL,2025-01-02,15:51:42,15S74NDDAFS1,UPI,INR,23461.11,100005784,Sachi Desai,Punjab National Bank,214380594070,Savings,PUNB3997764,+917242571242,100001264,Hitesh Qureshi,ICICI Bank,645447862188,Savings,ICIC4364935,+919263130560
ATM250102R0XAFG,2025-01-02,16:54:40,OVCCI68DS03V,ATM,INR,13957.04,100000148,Ishwar Tiwari,Bank of Baroda,465887885252,Savings,BARB4478270,+919543289248,100003483,Rajeev Solanki,HDFC Bank,975018023769,Savings,HDFC2018143,+916674498908
UPI2501024BKTCV,2025-01-02,18:24:07,1LTWBJ9UU2BL,UPI,INR,23332.16,100005241,Feroz Malhotra,Union Bank of India,687047399851,Savings,UBIN3346259,+917501730315,100000347,Jignesh Pandey,ICICI Bank,791567969164,Salary,ICIC9317815,+917330684763
ATM250102V4KFQ5,2025-01-02,18:27:20,DZ53X1F8S0X7,ATM,INR,19555.74,100002938,Chaitali Chatterjee,IndusInd Bank,255087800409,Salary,INDB9596294,+918069518866,100001829,Bhuvan Deshmukh,ICICI Bank,256385154295,Salary,ICIC9739454,+919939243535
UPI250102D0771H,2025-01-02,18:44:57,LL9RZRKBFQXL,UPI,INR,4331.86,100000772,Akshay Bansal,ICICI Bank,288489603837,Salary,ICIC3842970,+917640376327,100001295,Rohit Bose,ICICI Bank,883215240527,Savings,ICIC4350881,+916845331824
ATM250102SPD2SW,2025-01-02,19:47:59,24WJT8HDPWVB,ATM,INR,13439.48,100001623,Narendra Pawar,Punjab National Bank,431000110463,Savings,PUNB1615501,+917230975615,100001098,Meet Bora,IndusInd Bank,744065190482,Salary,INDB4266156,+919217424995
UPI2501023X8MBG,2025-01-02,20:17:38,L2MCXN2ELALQ,UPI,INR,23482.22,100003824,Sarita Syed,IndusInd Bank,605067920410,Salary,INDB3317549,+917835301377,100003031,Nikita Bagchi,ICICI Bank,792918664545,Salary,ICIC1124381,+918741550706
ATM2501022R9PEG,2025-01-02,20:25:16,LNUKX496K4O6,ATM,INR,8673.22,100005268,Gagan Mohanty,HDFC Bank,841176708633,Salary,HDFC5365562,+919784562292,100002020,Nivedita Mahajan,Canara Bank,511448208176,Savings,CNRB5094732,+917830331812
IMPS2501027BXCD2,2025-01-02,20:33:17,0J1OULWOZQ48,IMPS,INR,17471.09,100000230,Lalit Soni,Canara Bank,539209799808,Savings,CNRB9816734,+918560366101,100004433,Aaradhya Rathod,State Bank of India,655994652623,Savings,SBIN8742194,+919055082680
ATM250102XQJ7DP,2025-01-02,20:51:57,FSSBJDX0PKOV,ATM,INR,16536.15,100000563,Balaji Bhatia,IndusInd Bank,172322178689,Salary,INDB9573822,+918814548537,100004996,Manav Syed,Canara Bank,846791661456,Salary,CNRB9400000,+917751254001
ATM250102PWG3XG,2025-01-02,21:57:34,0TRKY8RYOZDP,ATM,INR,734.94,100002318,Anshika Chaturvedi,Bank of Baroda,230678291541,Salary,BARB6993311,+917815456502,100004819,Kareena Kar,Axis Bank,565664199365,Savings,UTIB9606243,+917716485521
TXN250102SMZOCX,2025-01-02,21:59:57,MZMZ2K1KO6XN,Cash Deposit,INR,32085.46,100002873,Brahma Sharma,State Bank of India,982942584463,Savings,SBIN1153015,+916792758063,100004054,Asha Bose,Canara Bank,491405895883,Savings,CNRB3574769,+916664850079
ATM250102C58CU4,2025-01-02,22:20:08,7SOCZDQ7JBMJ,ATM,INR,8299.22,100006148,Amira Naidu,Axis Bank,851784572226,Salary,UTIB2368801,+916658111686,100002938,Chaitali Chatterjee,IndusInd Bank,255087800409,Salary,INDB9596294,+918069518866
ATM250102W165AE,2025-01-02,23:41:07,JT70EBPY9E57,ATM,INR,3033.84,100000177,Pushkar Thomas,HDFC Bank,974040547940,Savings,HDFC8057013,+919982624631,100000108,Prabhu Bora,IndusInd Bank,888676423697,Salary,INDB9486423,+918319568494
TXN250102KMU6U4,2025-01-02,23:52:25,PLLGF309HSUW,Cash Deposit,INR,4974.89,100006252,Jyotir Bisht,Kotak Mahindra Bank,894439489041,Savings,KKBK5232075,+916798129927,100002060,Nilesh Khan,State Bank of India,984123946961,Demat,SBIN1772238,+919181847107
UPI250103Z4UR2Y,2025-01-03,02:31:30,UPMANQY0HU97,UPI,INR,8080.09,100002758,Anil Hegde,Bank of Baroda,683928304121,Savings,BARB9259815,+918289810877,100005651,Shikha Bhatt,HDFC Bank,647789252672,Savings,HDFC2165534,+919534776848
UPI2501035EP4CW,2025-01-03,02:49:37,CDT9GWA44LZ6,UPI,INR,24744.08,100006945,Raman Kohli,IndusInd Bank,158454095929,Savings,INDB3134402,+919594968091,100002820,Poornima Rathod,Canara Bank,899205939769,Savings,CNRB6518774,+919393824493
UPI250103TNYFM7,2025-01-03,04:46:16,VH30QBKERN6Y,UPI,INR,12531.86,100002360,Dhara Shah,Punjab National Bank,740328212851,Savings,PUNB4454500,+916551027239,100004750,Meena Joshi,ICICI Bank,324974411709,Savings,ICIC6496587,+919333568762
ATM250103JMK3TG,2025-01-03,04:49:29,MALWVMB0IDD0,ATM,INR,5217.02,100005847,Monica Rao,HDFC Bank,327190481912,Savings,HDFC6000550,+918952279212,100002042,Rajat D'Souza,Canara Bank,680269076469,Current,CNRB9710761,+917853209083
ATM250103I2NR1P,2025-01-03,05:08:32,02JYV6YJOAOE,ATM,INR,10780.29,100002614,Aaryan Shah,Union Bank of India,157981091705,Savings,UBIN1296439,+916013444371,100002265,Narendra Hegde,State Bank of India,704272529246,Savings,SBIN4202496,+916639964319
TXN250103MPQ0HZ,2025-01-03,05:18:34,YJB48WUMH9NK,Cash Deposit,INR,19208.66,100002271,Mohit Krishnan,Canara Bank,214357371287,Current,CNRB2405014,+917271368384,100001003,Jay Pillai,State Bank of India,664223757771,Salary,SBIN1465672,+918750445092
UPI250103D7V911,2025-01-03,06:56:51,PJQ50XCXMSY3,UPI,INR,24738.78,100000336,Aravind Tiwari,State Bank of India,602941196667,Savings,SBIN6075305,+917641309711,100003404,Mitali Shaikh,Union Bank of India,137479230166,Salary,UBIN4415042,+919182777057
ATM250103TEK17M,2025-01-03,07:35:34,6J3RTXYMSCNX,ATM,INR,19522.85,100000954,Darshana Rawat,Punjab National Bank,805353137373,Savings,PUNB1976105,+917370031846,100006209,Nikunj Behera,Bank of Baroda,727466045569,Savings,BARB4437199,+916789869480
UPI25010321ID9V,2025-01-03,08:16:01,VN5X48PW5K0J,UPI,INR,13323.2,100002043,Prabhu Chauhan,Bank of Baroda,560496829629,Savings,BARB9573392,+917985063796,100000657,Dhanya Patil,Union Bank of India,774212599593,Salary,UBIN3612907,+919330567977
TXN2501038NOZEM,2025-01-03,09:24:26,DMZ5RGOI9WM1,Cash Deposit,INR,15903.52,100001240,Kriti Qureshi,HDFC Bank,772630375047,Savings,HDFC4361265,+918671851303,100004607,Rajani Kulkarni,IndusInd Bank,915860963590,Savings,INDB3911353,+918946516483
UPI250103NNLO0H,2025-01-03,10:41:17,HGH5XW6T1OXH,UPI,INR,16039.13,100003697,Pallavi More,Union Bank of India,449634624784,Savings,UBIN1367741,+918805064101,100004832,Praveen Shaikh,Canara Bank,632551004225,Salary,CNRB5199932,+916893592412
UPI250103FDXK31,2025-01-03,10:41:19,WBHTFNSGPYNY,UPI,INR,22191.85,100003850,Harshad Goel,Canara Bank,877072817110,Salary,CNRB5659993,+919316737376,100002415,Seema Krishnan,Punjab National Bank,750750501481,Savings,PUNB8204020,+919941240635
IMPS250103VSKP30,2025-01-03,11:38:33,TX8J1CCM0W3C,IMPS,INR,6501.61,100002410,Jyotsna Khan,State Bank of India,146050068825,Savings,SBIN5444922,+916592860335,100005278,Sahil Bhatia,Union Bank of India,463440996059,Demat,UBIN6104503,+918491357224
ATM250103GB205H,2025-01-03,13:42:32,U03Y53MBWU5J,ATM,INR,8056.44,100003878,Ruchi Pathan,Punjab National Bank,146444521683,Savings,PUNB3260821,+916138868243,100001243,Garima Pandey,IndusInd Bank,774434655529,Salary,INDB8705345,+919099798724
UPI25010327PSQZ,2025-01-03,15:12:05,N7XBVZR6KFKL,UPI,INR,3821.37,100001995,Amira Patel,Punjab National Bank,761920832926,Salary,PUNB3970517,+917861070842,100001903,Ayush Pathan,HDFC Bank,735260974362,Savings,HDFC1581925,+918358633681
TXN250103DF4HRA,2025-01-03,15:13:13,1361BGMY4IQZ,Cash Deposit,INR,29737.23,100003600,Bharat Syed,Canara Bank,628435169643,Savings,CNRB7270406,+917182843045,100004794,Nandita Sandhu,ICICI Bank,480794758608,Demat,ICIC5418645,+918581127730
ATM2501036DF08U,2025-01-03,15:32:59,PNZASYWDRKUP,ATM,INR,13515.17,100003493,Jaya Soni,Axis Bank,865029006556,Savings,UTIB4958483,+918801111965,100000255,Kavya Joshi,Axis Bank,415035344047,Savings,UTIB3898476,+917320842244
UPI2501032B4JTJ,2025-01-03,16:31:55,27YH6UAMWJPI,UPI,INR,4649.5,100000788,Aashi Krishnan,State Bank of India,454458829771,Salary,SBIN7388591,+918733363458,100005984,Saraswati Joshi,Kotak Mahindra Bank,110645388943,Savings,KKBK8430265,+916000914011
UPI250103VMSR75,2025-01-03,17:53:16,RMG7F9FZJAHS,UPI,INR,23457.58,100004643,Naresh Desai,Bank of Baroda,344845546850,Savings,BARB7560421,+919509871784,100006765,Aanya Roy,IndusInd Bank,856543974252,Savings,INDB3233033,+917919173758
UPI250103AO2QWK,2025-01-03,17:54:02,BSEPR1B20UC8,UPI,INR,11027.1,100006636,Rahul Ghosh,HDFC Bank,738053763187,Savings,HDFC3530184,+917184224644,100000313,Arnav Desai,Union Bank of India,655687970571,Salary,UBIN4699167,+918364246419
UPI250103E0JXYO,2025-01-03,19:32:42,6HFD7LTTC954,UPI,INR,80873.97,100003187,Pritam Ghosh,Kotak Mahindra Bank,825536192067,Savings,KKBK9275967,+918613480895,100000876,Akshara More,Bank of Baroda,485835505240,Savings,BARB8471536,+916409475395
ATM250103XHBQAM,2025-01-03,20:02:28,97XO485D4VUE,ATM,INR,1945.46,100006842,Kusum Roy,State Bank of India,194556258976,Savings,SBIN9882064,+916844915057,100003100,Chhavi Pawar,HDFC Bank,967059600417,Current,HDFC8520172,+918751136354
ATM250103NFMOCT,2025-01-03,20:08:13,CLKA9LZ57V4N,ATM,INR,17848.61,100005137,Manish Sen,Kotak Mahindra Bank,932128653812,Savings,KKBK5344449,+918987497344,100006266,Saloni Goel,Bank of Baroda,734005402584,Savings,BARB4386654,+918403326267
ATM250103DJM5GH,2025-01-03,20:15:29,2IJ4TT43TUYK,ATM,INR,6839.72,100001593,Luv Kohli,Axis Bank,817817221948,Savings,UTIB5826012,+916626409186,100005822,Dinesh Chauhan,Punjab National Bank,370939554420,Savings,PUNB6779887,+917114445865
UPI2501030YEH8U,2025-01-03,20:47:01,XZ3ADHF025LO,UPI,INR,23114.14,100003960,Omkar Dubey,Bank of Baroda,185206194488,Savings,BARB5000960,+916323599598,100000884,Anjali Nair,Canara Bank,959346219253,Demat,CNRB5901773,+918024648441
TXN250103JV07IR,2025-01-03,21:18:10,JG107R925DSI,Cash Deposit,INR,24913.8,100006756,Bhoomi Naik,IndusInd Bank,958322631678,Savings,INDB4702674,+918946975346,100001636,Aparna Srivastava,Canara Bank,695200932944,Savings,CNRB2824673,+918961683209
TXN250103DFPPWC,2025-01-03,21:50:31,1QY9MBAAXA3B,Cash Deposit,INR,13254.53,100006784,Deepika Soni,ICICI Bank,629460318508,Savings,ICIC8357889,+917177023411,100001318,Gulshan Rathod,State Bank of India,187437713578,Savings,SBIN7252739,+916159307599
ATM250103BPAVAJ,2025-01-03,21:56:51,IMMNSTOUIFJI,ATM,INR,5660.55,100002744,Ishita Khan,State Bank of India,947473008369,Current,SBIN5967545,+919083834177,100006857,Feroz Das,Punjab National Bank,584416339530,Savings,PUNB5858725,+916620449138
IMPS250103486D43,2025-01-03,23:39:04,I21PU8BWAUFX,IMPS,INR,49201.88,100006385,Anurag Saxena,IndusInd Bank,891507587277,Savings,INDB4457517,+918155040073,100003557,Farah Majumdar,State Bank of India,842311651233,Savings,SBIN2177841,+917162139428
UPI250103E41OFV,2025-01-03,23:59:06,14J643F1AYSV,UPI,INR,21948.51,100004114,Kalpana Trivedi,Kotak Mahindra Bank,890996058192,Current,KKBK5275374,+918819627982,100000702,Kailash Ansari,Axis Bank,281217706574,Savings,UTIB2560987,+917392182420
UPI250104IO2F2N,2025-01-04,01:21:26,ATD4GWLF9YXA,UPI,INR,22475.48,100000589,Gargi Pandey,Canara Bank,936999426737,Savings,CNRB1524775,+917459240913,100004625,Badrinath Varghese,HDFC Bank,433432639382,Savings,HDFC6507161,+919983414411
UPI250104NZ5X51,2025-01-04,01:51:13,O0LQBYG6G04J,UPI,INR,14553.3,100005185,Malini Parmar,HDFC Bank,529380350062,Savings,HDFC7962188,+918912372592,100005342,Manav Kalita,HDFC Bank,979486823801,Salary,HDFC4752705,+917615893220
UPI250104RC0ERJ,2025-01-04,02:32:24,E4S4MFEL33PC,UPI,INR,7223.19,100003572,Meena Kulkarni,Bank of Baroda,416889555757,Savings,BARB4352524,+916411140192,100001726,Aditya Bhatt,IndusInd Bank,978461553424,Salary,INDB4549489,+917540402784
UPI250104BV0DEO,2025-01-04,04:18:56,EGEZQ0X717HW,UPI,INR,2559.75,100004221,Manisha Krishnan,IndusInd Bank,121548937869,Savings,INDB8367646,+916321452778,100006130,Kishore Dutta,HDFC Bank,470875792487,Savings,HDFC9734072,+916392963980
TXN250104IEW6OR,2025-01-04,04:31:09,6XN6LCPY9NPG,Cash Deposit,INR,48468.91,100005944,Gargi Reddy,Kotak Mahindra Bank,297250166262,Savings,KKBK9273518,+917750018186,100001671,Nandita Banerjee,Union Bank of India,543744573565,Savings,UBIN5750300,+919507777512
UPI250104IQICB5,2025-01-04,04:39:52,NTJK2GZAUGTT,UPI,INR,7146.63,100004359,Saloni Pandya,IndusInd Bank,181038952772,Savings,INDB2145468,+919248670364,100004960,Reshma Behera,IndusInd Bank,266531246841,Savings,INDB8115827,+918981533864
ATM2501040O7Y4X,2025-01-04,05:32:36,BBMZJ22PMB6X,ATM,INR,9598.48,100001508,Abhishek Hegde,Punjab National Bank,181568980495,Savings,PUNB8309708,+918295957246,100001040,Anita Banerjee,IndusInd Bank,889286427265,Current,INDB2941779,+918796362847
ATM250104NC19AR,2025-01-04,06:49:17,SOZ9E5GV7P2A,ATM,INR,2231.61,100003950,Neeraj Dave,HDFC Bank,583169377036,Savings,HDFC1095382,+917359200663,100002257,Nishant Joshi,Axis Bank,283120134662,Savings,UTIB8908382,+917602742153
ATM2501044L2E4F,2025-01-04,08:18:19,4N3ZA0CO76O8,ATM,INR,22508.59,100003031,Nikita Bagchi,ICICI Bank,792918664545,Salary,ICIC1124381,+918741550706,100004394,Chandra Sawant,Punjab National Bank,465059113552,Savings,PUNB8654415,+916422315453
ATM250104RN4FLH,2025-01-04,10:07:36,W3CHNJ6GDTGC,ATM,INR,15458.79,100005241,Feroz Malhotra,Union Bank of India,687047399851,Savings,UBIN3346259,+917501730315,100005792,Lokesh Naidu,HDFC Bank,480636020104,Current,HDFC2639827,+916821556270
ATM250104HAEWAB,2025-01-04,10:30:40,HB7ZHEZR4E5I,ATM,INR,275.95,100004221,Manisha Krishnan,IndusInd Bank,121548937869,Savings,INDB8367646,+916321452778,100000678,Keshav Shinde,Bank of Baroda,269934659150,Savings,BARB2942620,+917508281755
UPI250104NQ06UJ,2025-01-04,11:06:32,LQV62J16W8MI,UPI,INR,17430.22,100001850,Nilima More,Canara Bank,790489875032,Current,CNRB6408619,+919871681664,100001376,Arun Banerjee,Kotak Mahindra Bank,699188025834,Salary,KKBK7887636,+917627570441
TXN2501046I62R2,2025-01-04,12:20:19,CXTJYRDIRL48,Cash Deposit,INR,34154.3,100003731,Payal Rathod,ICICI Bank,332261793890,Demat,ICIC9189188,+918578598723,100006360,Sagar Chawla,Union Bank of India,664790495253,Savings,UBIN2551437,+918836650449
ATM250104N9UQ7R,2025-01-04,13:11:09,ZAPUOLXPOUV7,ATM,INR,13894.06,100001548,Mrinali Behera,Kotak Mahindra Bank,994250894353,Savings,KKBK9735044,+917676065829,100001878,Kiran Banerjee,ICICI Bank,471616142413,Salary,ICIC3681059,+918793879665
