IPDR_ID,Session_Date,Session_Start_Time,Subscriber_IMSI,Subscriber_MSISDN,Device_IMEI,Source_IP_Address,Destination_IP_Address,Destination_Port,Cell_Global_ID,Session_Duration_Seconds
IPDR202600001384,2025-01-11,15:57:13,404420010950948,+919631160683,354966202491655,10.99.195.9,198.51.100.17,443,404-45-373-164,4
IPDR202600001418,2025-07-04,21:41:18,404610139299784,+919900369433,359865158482863,10.200.26.72,203.0.113.64,443,404-45-199-368,21
IPDR202600001446,2025-05-22,02:54:09,404274942441739,+919465637402,359832395242254,10.177.112.8,198.51.100.176,5228,404-45-107-073,21
IPDR202600001451,2025-06-01,09:30:07,404059089626503,+917291879073,356351738429689,10.89.16.68,203.0.113.197,443,404-45-489-285,36
IPDR202600001467,2025-02-20,02:08:42,404187973034027,+919761743248,358668876741712,10.105.166.147,198.51.100.46,123,404-45-854-105,18
IPDR202600001496,2025-08-16,18:39:17,404030644263963,+918172548486,354835062021205,10.47.166.179,203.0.113.104,80,404-45-862-575,6
IPDR202600001509,2025-12-29,10:45:24,404041709015815,+917035690561,351960554969075,10.242.38.152,203.0.113.173,443,404-45-818-559,12
IPDR202600001528,2025-05-21,14:48:43,404853372962807,+918186295994,350147463819087,10.243.48.177,198.51.100.109,8080,404-45-785-885,16
IPDR202600001543,2025-09-23,18:22:54,404023156221920,+919326665043,357316736382837,10.88.94.165,198.51.100.176,443,404-45-767-554,24
IPDR202600001563,2025-02-20,18:55:09,404539689578494,+919767607703,355822235079438,10.125.14.178,198.51.100.62,53,404-45-742-164,21
IPDR202600001566,2025-08-06,05:57:16,404648762686641,+917293592384,356186013792860,10.254.175.103,198.51.100.148,8080,404-45-491-894,8
IPDR202600001585,2025-03-19,05:59:40,404227060188420,+919608539310,350082397225453,10.115.18.123,198.51.100.140,5228,404-45-334-070,39
IPDR202600001588,2025-04-27,04:41:24,404511540915651,+919500258025,353718193045051,10.56.22.14,198.51.100.175,443,404-45-378-289,77
IPDR202600001610,2025-04-07,15:56:01,404552273161789,+918553840504,350979045133925,10.189.43.40,198.51.100.193,443,404-45-995-946,9
IPDR202600001627,2025-11-26,20:38:42,404700666167352,+917970852104,354372323952875,10.51.117.165,198.51.100.134,443,404-45-704-433,2
IPDR202600001706,2025-11-11,23:50:54,404218645545408,+919530476674,357650585192968,10.143.120.41,198.51.100.111,8443,404-45-984-747,1
IPDR202600001714,2025-01-29,05:03:23,404906222125342,+917392229228,354762835963572,10.184.172.139,198.51.100.112,5228,404-45-479-364,19
IPDR202600001752,2025-03-27,08:15:53,404811124311382,+917960840846,357428179000302,10.199.20.85,198.51.100.150,8080,404-45-446-022,45
IPDR202600001757,2025-07-07,18:38:34,404564349993226,+918131817017,359943580131031,10.48.198.251,198.51.100.180,443,404-45-234-688,20
IPDR202600001778,2025-12-16,15:48:58,404661448232320,+916861464216,354908884478796,10.45.90.208,198.51.100.180,8080,404-45-897-945,18
IPDR202600001780,2025-01-08,05:53:34,404484852427926,+918942185850,351799866879408,10.173.241.102,203.0.113.217,443,404-45-710-480,60
IPDR202600001781,2025-01-05,10:43:58,404601652045250,+917977076993,359684277354915,10.223.95.166,198.51.100.103,53,404-45-415-374,3
IPDR202600001787,2025-07-22,14:23:09,404195778210088,+919181703697,353461687222650,10.138.101.7,203.0.113.40,5228,404-45-891-297,5
IPDR202600001789,2025-04-07,20:40:49,404782044011502,+919711154236,350199432259191,10.8.5.36,203.0.113.142,443,404-45-371-541,16
IPDR202600001790,2025-02-08,05:02:14,404446955706436,+918696518496,351926192706658,10.233.219.245,198.51.100.248,443,404-45-785-498,6
IPDR202600001795,2025-08-28,13:01:44,404061102930063,+919463437589,354049752383955,10.195.6.149,203.0.113.130,443,404-45-441-790,56
IPDR202600001816,2025-11-09,14:14:42,404226557822029,+917425648341,355747042819480,10.56.185.129,198.51.100.151,443,404-45-967-353,11
IPDR202600001875,2025-11-13,19:23:18,404588924420590,+916439825779,351845302050548,10.186.131.11,203.0.113.5,443,404-45-508-688,6
IPDR202600001930,2025-06-14,13:04:27,404831359029222,+919521875296,351411476110104,10.19.4.33,203.0.113.225,80,404-45-376-948,22
IPDR202600001931,2025-05-17,07:57:12,404928666205041,+917675071712,351541813082646,10.201.59.94,198.51.100.190,8080,404-45-620-083,25
IPDR202600001941,2025-09-06,06:32:22,404142071026873,+916662607238,359439335587165,10.96.200.220,203.0.113.187,443,404-45-146-678,12
IPDR202600001953,2025-12-18,01:06:30,404966158185487,+919854398841,352788804979111,10.96.35.37,198.51.100.110,443,404-45-665-301,7
IPDR202600001974,2025-01-21,07:39:54,404765179251073,+916772554499,352442030848191,10.56.177.62,198.51.100.224,443,404-45-924-324,3
IPDR202600001988,2025-05-09,14:54:23,404053087508063,+916413888082,354035906170731,10.153.148.86,203.0.113.195,443,404-45-338-518,78
IPDR202600002002,2025-03-13,09:02:22,404225626373671,+916721272168,350072899430410,10.103.176.57,203.0.113.248,80,404-45-334-070,15
IPDR202600002003,2025-03-15,22:53:26,404663690197416,+918905398864,350971565514607,10.194.137.16,198.51.100.156,5228,404-45-325-460,2
IPDR202600002012,2025-12-04,09:53:04,404238516403650,+917459240913,352583236938253,10.155.39.213,198.51.100.143,8443,404-45-571-359,22
IPDR202600002017,2025-11-16,14:21:36,404191486201429,+918714145702,352274871262949,10.46.96.35,198.51.100.109,443,404-45-371-406,2
IPDR202600002018,2025-07-19,11:49:30,404836880408441,+917164270166,351533738239753,10.40.211.192,198.51.100.182,443,404-45-713-332,75
IPDR202600002036,2025-06-29,16:12:37,404234553874690,+917790056636,359037807415142,10.208.1.105,203.0.113.133,443,404-45-749-874,19
IPDR202600002095,2025-03-17,07:00:39,404313833588735,+916768200913,353694004035084,10.247.180.60,198.51.100.252,443,404-45-233-653,10
IPDR202600002096,2025-11-22,15:05:22,404466565355629,+918141602781,350212317260891,10.16.157.182,203.0.113.137,443,404-45-785-885,8
IPDR202600002098,2025-06-08,23:08:15,404337473754074,+916209055698,356907091755640,10.33.154.58,203.0.113.5,443,404-45-373-164,3
IPDR202600002104,2025-12-30,20:51:36,404756238192259,+916199842463,350080024057789,10.205.31.61,203.0.113.135,443,404-45-646-747,89
IPDR202600002110,2025-06-16,09:00:35,404374124843216,+919124582856,351835419995296,10.70.160.163,198.51.100.70,5228,404-45-698-489,128
IPDR202600002111,2025-08-20,22:26:52,404127083355935,+918845391323,356904855075656,10.165.242.122,198.51.100.190,443,404-45-799-664,27
IPDR202600002157,2025-07-26,02:44:28,404301993167344,+919372873392,357991519174120,10.221.124.128,198.51.100.48,8443,404-45-670-225,7
IPDR202600002182,2025-05-14,05:30:05,404727251049178,+919339073555,359492724680785,10.51.224.209,198.51.100.35,8080,404-45-869-959,8
IPDR202600002225,2025-01-23,17:22:53,404795933674761,+917215786381,355995697566364,10.127.222.101,203.0.113.165,53,404-45-357-928,10
IPDR202600002360,2025-08-01,12:45:32,404207076302771,+919620852192,355867756453697,10.100.84.170,203.0.113.152,53,404-45-584-827,10
IPDR202600002369,2025-07-07,19:36:18,404468669466527,+918011219206,352479022293870,10.186.197.25,198.51.100.11,53,404-45-822-438,58
IPDR202600002389,2025-10-29,01:05:36,404991232588298,+917554209178,352283763398752,10.20.54.78,203.0.113.248,123,404-45-303-157,8
IPDR202600002408,2025-01-07,07:31:51,404047681464652,+917094110284,355429182117702,10.170.36.189,203.0.113.224,53,404-45-564-004,2
IPDR202600002417,2025-03-29,06:52:43,404202041316271,+919118981518,352182932145858,10.161.213.30,203.0.113.91,80,404-45-999-138,15
IPDR202600002424,2025-08-30,13:55:55,404315548515896,+918169485886,352338814572612,10.129.60.46,203.0.113.51,123,404-45-162-413,6
IPDR202600002433,2025-10-18,05:17:40,404131629932306,+917761792416,355468468305072,10.208.27.125,203.0.113.4,443,404-45-798-907,5
IPDR202600002450,2025-05-24,14:32:13,404164446601476,+917780325783,354093762640831,10.90.127.230,203.0.113.235,80,404-45-662-170,31
IPDR202600002451,2025-11-02,20:51:04,404752590223333,+919449758494,355538657806845,10.241.59.148,203.0.113.54,80,404-45-919-883,6
IPDR202600002461,2025-02-20,11:35:34,404851434879460,+918133493776,357292330025722,10.86.220.113,203.0.113.173,443,404-45-242-253,28
IPDR202600002462,2025-01-29,04:53:34,404906222125342,+917392229228,354762835963572,10.167.244.230,198.51.100.106,8443,404-45-243-433,11
IPDR202600002481,2025-09-25,22:14:08,404037384008221,+918655786056,359626736773496,10.53.139.153,203.0.113.222,443,404-45-315-699,9
IPDR202600002487,2025-10-02,23:50:08,404728916933710,+916297838879,354412763150004,10.11.100.181,198.51.100.171,443,404-45-767-554,1
IPDR202600002500,2025-11-06,16:53:30,404561587552564,+917279722108,350985997585975,10.242.213.114,198.51.100.217,443,404-45-897-945,4
IPDR202600002515,2025-01-22,01:03:38,404356067612154,+919075161331,350210830750689,10.229.35.72,198.51.100.85,443,404-45-350-168,36
IPDR202600002518,2025-12-10,13:33:11,404335249271864,+918566455871,356329364470652,10.166.154.208,198.51.100.220,443,404-45-902-804,7
IPDR202600002522,2025-09-11,01:58:26,404228986043786,+918073269811,356501440284578,10.101.249.225,203.0.113.159,8080,404-45-145-004,9
IPDR202600002542,2025-01-22,06:03:16,404187617504206,+919541078632,356941933406067,10.195.56.21,203.0.113.251,53,404-45-822-438,8
IPDR202600002551,2025-02-15,14:13:22,404229669444078,+918835539164,356960963788580,10.130.7.97,198.51.100.142,80,404-45-796-739,19
IPDR202600002583,2025-11-16,00:57:05,404866060494198,+916604663553,350843090361211,10.227.58.84,203.0.113.210,8443,404-45-158-984,15
IPDR202600002603,2025-02-15,22:53:13,404083406065701,+918865064080,358595787502901,10.204.224.61,198.51.100.102,53,404-45-652-774,17
IPDR202600002667,2025-03-30,12:20:59,404434453836044,+917057305763,352803608790508,10.132.104.93,203.0.113.156,8443,404-45-108-684,9
IPDR202600002678,2025-06-05,12:27:46,404676170832880,+917933350510,356890783418201,10.245.254.206,203.0.113.238,53,404-45-702-226,3
IPDR202600002690,2025-10-16,10:44:51,404418950422707,+918146989818,352594201551769,10.224.133.212,198.51.100.124,8080,404-45-325-460,58
IPDR202600002704,2025-11-07,12:23:12,404954255716503,+917218983467,356356421522814,10.215.192.220,198.51.100.89,8443,404-45-371-949,45
IPDR202600002775,2025-12-24,23:23:42,404164446601476,+917780325783,354093762640831,10.69.214.99,203.0.113.45,80,404-45-718-271,20
IPDR202600002780,2025-03-02,08:28:50,404232429533485,+916889163629,352478929717171,10.105.96.163,203.0.113.134,443,404-45-371-541,28
IPDR202600002784,2025-08-31,21:09:37,404944205506619,+919303727103,352318818285323,10.14.40.206,198.51.100.117,123,404-45-680-898,22
IPDR202600002804,2025-09-13,02:57:15,404773058174668,+917310983111,350742010959527,10.222.233.76,198.51.100.252,8080,404-45-859-282,2
IPDR202600002816,2025-07-15,22:24:56,404349215116533,+918495071116,359023935335194,10.59.38.199,203.0.113.83,443,404-45-373-164,9
IPDR202600002857,2025-04-15,00:20:14,404211859203924,+917001748325,355046932190873,10.125.207.147,203.0.113.199,53,404-45-348-804,14
IPDR202600003005,2025-06-06,09:51:19,404950952128650,+919176357004,359729805889291,10.98.241.67,203.0.113.2,443,404-45-966-053,8
IPDR202600003014,2025-08-25,19:23:57,404120665410878,+918450421025,352578688306582,10.189.8.117,203.0.113.126,123,404-45-119-115,10
IPDR202600003025,2025-02-16,13:24:18,404080029827408,+916240459836,357507878193799,10.14.91.7,198.51.100.32,443,404-45-697-409,8
IPDR202600003027,2025-02-24,21:07:35,404085523781934,+919734738182,355549108978879,10.62.96.92,203.0.113.20,8443,404-45-170-901,7
IPDR202600003035,2025-08-30,23:52:49,404471825872070,+916983480372,354926761999127,10.31.202.106,198.51.100.244,443,404-45-478-292,4
IPDR202600003063,2025-10-17,15:43:48,404884974809132,+918940237490,359120968456605,10.171.98.156,203.0.113.183,8443,404-45-718-271,5
IPDR202600003068,2025-02-13,20:14:47,404867621011710,+916653271645,356014704827913,10.70.89.150,203.0.113.136,53,404-45-441-790,6
IPDR202600003093,2025-04-04,16:17:05,404895598940525,+918032582611,356476082315295,10.126.230.68,198.51.100.167,443,404-45-568-324,18
IPDR202600003102,2025-11-11,17:41:23,404554466920020,+917606828823,351267317822732,10.114.28.192,198.51.100.31,123,404-45-860-567,73
IPDR202600003137,2025-01-29,05:38:49,404917929528871,+917686334518,359346373807954,10.209.136.56,198.51.100.235,443,404-45-626-244,28
IPDR202600003151,2025-11-10,09:58:49,404884974809132,+918940237490,359120968456605,10.27.83.180,198.51.100.76,53,404-45-448-115,30
IPDR202600003157,2025-07-14,20:43:24,404601421603553,+919108535855,358128123411296,10.32.65.230,203.0.113.218,80,404-45-565-293,4
IPDR202600003163,2025-10-11,02:21:29,404945785388873,+918131811240,359335634576678,10.21.51.72,198.51.100.28,5228,404-45-102-400,1
IPDR202600003177,2025-04-02,19:20:40,404775909755641,+916620236520,357330311422470,10.38.4.186,198.51.100.189,5228,404-45-818-559,160
IPDR202600003183,2025-09-04,17:37:38,404178684364270,+919034522106,351643412985137,10.178.207.84,203.0.113.92,5228,404-45-880-166,90
IPDR202600003195,2025-12-23,16:17:18,404354241386155,+916115710458,354535659951646,10.68.220.135,203.0.113.151,80,404-45-618-272,77
IPDR202600003215,2025-07-01,02:06:07,404591100185168,+917375204266,352649383236383,10.96.33.27,198.51.100.1,80,404-45-710-480,11
IPDR202600003222,2025-08-10,16:53:30,404250955064612,+917885171272,356429030607783,10.188.221.148,203.0.113.72,80,404-45-830-320,20
IPDR202600003266,2025-07-05,17:27:38,404954341991008,+916514444241,354682315116551,10.203.205.39,198.51.100.32,80,404-45-878-546,1
IPDR202600003307,2025-07-30,18:48:29,404028242642807,+917293352701,354772950492264,10.18.240.211,198.51.100.99,443,404-45-887-657,74
IPDR202600003327,2025-07-17,13:09:59,404440232092862,+917649597283,357396437330874,10.74.89.253,203.0.113.94,443,404-45-881-345,28
IPDR202600003391,2025-07-18,12:33:57,404750795751024,+918140155897,355806704585585,10.193.0.2,198.51.100.99,123,404-45-423-958,16
IPDR202600003413,2025-04-13,09:56:56,404960859514954,+919303389988,350692230631326,10.78.16.57,203.0.113.201,80,404-45-130-096,41
IPDR202600003421,2025-12-11,13:16:24,404105866751004,+916711627793,351618595040516,10.19.169.106,198.51.100.218,443,404-45-471-900,4
IPDR202600003436,2025-06-25,07:25:01,404493928244855,+917458872064,351720995985238,10.169.106.209,198.51.100.153,8443,404-45-462-434,11
IPDR202600003441,2025-06-30,05:15:02,404119409185580,+917026149618,355728433651590,10.179.141.181,198.51.100.205,8080,404-45-334-842,20
IPDR202600003445,2025-07-20,07:00:13,404296958166067,+918264740465,351691842648253,10.214.191.211,203.0.113.157,123,404-45-769-542,8
IPDR202600003461,2025-12-14,07:07:29,404426577272797,+918179229014,353309923582225,10.93.216.159,198.51.100.62,443,404-45-513-123,18
IPDR202600003491,2025-09-04,12:02:41,404110693429669,+918922458351,350643164035588,10.49.98.233,203.0.113.101,5228,404-45-350-168,11
IPDR202600003494,2025-01-02,23:37:24,404692512715125,+916304446754,358440478852857,10.29.55.20,198.51.100.13,8080,404-45-683-253,13
IPDR202600003527,2025-10-15,00:03:59,404468682709533,+917888820724,355825864993782,10.11.102.52,203.0.113.132,80,404-45-726-827,17
IPDR202600003575,2025-12-08,22:46:14,404188092215992,+919214292240,355282047802378,10.138.248.32,198.51.100.64,5228,404-45-605-094,12
IPDR202600003594,2025-08-01,06:35:16,404841676734802,+918980177709,359346566207948,10.15.125.240,203.0.113.184,443,404-45-641-258,54
IPDR202600003617,2025-10-08,22:57:41,404219362934400,+916000914011,355106855474818,10.6.73.29,203.0.113.253,443,404-45-719-216,19
IPDR202600003619,2025-06-01,17:04:46,404329803877353,+917464089889,358884665826607,10.167.47.195,198.51.100.37,443,404-45-981-041,20
IPDR202600003627,2025-10-31,10:06:30,404690884726857,+916237834522,359815806300203,10.194.102.186,203.0.113.126,443,404-45-830-320,2
IPDR202600003654,2025-07-23,01:24:19,404348500968395,+917260525274,357212038753711,10.96.133.99,203.0.113.101,443,404-45-548-922,12
IPDR202600003666,2025-07-28,09:28:40,404928480102745,+917853196390,350834712162463,10.97.29.170,203.0.113.164,443,404-45-489-285,32
IPDR202600003675,2025-12-09,03:44:57,404821933206177,+916451479387,354498648404526,10.179.208.177,198.51.100.4,443,404-45-618-272,2
IPDR202600003723,2025-04-18,00:08:39,404730197359200,+918794336450,353879580704581,10.134.191.191,203.0.113.254,443,404-45-552-565,1
IPDR202600003733,2025-11-16,10:07:00,404565046361968,+916459441639,353802504484345,10.81.84.67,203.0.113.144,443,404-45-573-256,12
IPDR202600003771,2025-09-11,11:34:16,404863497884735,+917346187234,355174632162189,10.251.0.187,198.51.100.52,443,404-45-370-518,23
IPDR202600003779,2025-12-16,17:09:21,404832790840193,+916566410702,358074749382953,10.238.76.247,198.51.100.207,5228,404-45-835-323,14
IPDR202600003802,2025-09-22,13:43:54,404609560643333,+916653181892,358623804256644,10.166.140.204,198.51.100.135,80,404-45-928-891,5
IPDR202600003808,2025-06-20,22:27:45,404937216720317,+917129928470,355827437320306,10.104.54.24,198.51.100.80,8080,404-45-304-837,5
